NR_118802	S000437483	1505	1505	1505	1	1505	1	1505	1495	2761	0	100	1505	0	1505	Halobacteroides halobius; MD-1; ATCC 35273   Lineage=Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Halanaerobiales;order;Halobacteroidaceae;family;Halobacteroides;genus	2018
NR_119149	S000023424	1071	1071	1071	1	1071	1	1071	1051	1941	0	100	1071	0	1071	"Mycobacterium chelonae subsp. null; ATCC 35752   Lineage=Root;rootrank;Bacteria;domain;""Actinobacteria"";phylum;Actinobacteria;class;Actinobacteridae;subclass;Actinomycetales;order;Corynebacterineae;suborder;Mycobacteriaceae;family;Mycobacterium;genus"	2018
NR_137399	S004509067	1434	1469	1434	1	1434	2	1435	1434	2649	0	100	1434	0	1434	"Rhizobium sp. BLR195   Lineage=Root;rootrank;Bacteria;domain;""Proteobacteria"";phylum;Alphaproteobacteria;class;Rhizobiales;order;Rhizobiaceae;family;Rhizobium;genus"	2018
NR_118580	S004045241	1254	1254	1254	1	1254	1	1254	1254	2316	0	100	1254	0	1254	"Flavobacterium columnare; ATCC 23463; GI-7   Lineage=Root;rootrank;Bacteria;domain;""Bacteroidetes"";phylum;Flavobacteriia;class;""Flavobacteriales"";order;Flavobacteriaceae;family;Flavobacterium;genus"	2018
NR_115232	S000441328	1485	1485	1485	1	1485	1	1485	1485	2743	0	100	1485	0	1485	"Mycobacterium mageritense; CIP 104973; DSM 44476   Lineage=Root;rootrank;Bacteria;domain;""Actinobacteria"";phylum;Actinobacteria;class;Actinobacteridae;subclass;Actinomycetales;order;Corynebacterineae;suborder;Mycobacteriaceae;family;Mycobacterium;genus"	2018
NR_118904	S000128039	1479	1479	1479	1	1479	1	1479	1387	2562	0	100	1479	0	1479	Lactococcus raffinolactis; NCDO 617   Lineage=Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Streptococcaceae;family;Lactococcus;genus	2018
NR_112116	S000119044	1550	1553	1550	1	1550	2	1551	1550	2863	0	100	1550	0	1550	Bacillus subtilis; IAM 12118T   Lineage=Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;Bacillus;genus	2018
NR_036946	S004067680	1514	1514	1514	1	1514	1	1514	1514	2796	0	100	1514	0	1514	"Mycoplasma bovis PG45; MU clone A2   Lineage=Root;rootrank;Bacteria;domain;""Tenericutes"";phylum;Mollicutes;class;Mycoplasmatales;order;Mycoplasmataceae;family;Mycoplasma;genus"	2018
NR_119220	S004212304	1500	1531	1500	1	1500	20	1519	1498	2767	0	99.933	1499	1	1499	"Stenotrophomonas maltophilia; 13637   Lineage=Root;rootrank;Bacteria;domain;""Proteobacteria"";phylum;Gammaproteobacteria;class;Xanthomonadales;order;Xanthomonadaceae;family;Stenotrophomonas;genus"	2018
NR_043408	S000978739	1521	1540	1517	5	1521	3	1519	1509	2787	0	99.736	1513	4	1513	Lactobacillus rhamnosus; YIT 0105 (= ATCC 7469)   Lineage=Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Lactobacillales;order;Lactobacillaceae;family;Lactobacillus;genus	2018
